200521 171934.422|CONFIG|http-nio-8080-exec-5|setFileHandlers|Now logging to H:\Университет\8 сем - FINISH!!!\Диплом\pc2v9-PC2_RELEASE_9_6_x\pc2v9-PC2_RELEASE_9_6_x\pc2\logs directory.
200521 171934.422|INFO|http-nio-8080-exec-5|info|
200521 171934.444|INFO|http-nio-8080-exec-5|info|Version 9 () Java ver 1.8.0_144 build  Windows 7 6.1 (amd64) 
200521 171934.444|INFO|http-nio-8080-exec-5|startLog|Working directory is H:\Университет\8 сем - FINISH!!!\Диплом\pc2v9-PC2_RELEASE_9_6_x\pc2v9-PC2_RELEASE_9_6_x\pc2
200521 171934.445|INFO|http-nio-8080-exec-5|startLog|Process id is 11260@admin-ПК
200521 171934.446|INFO|http-nio-8080-exec-5|start|Starting ConnectionManager...
200521 171934.446|INFO|http-nio-8080-exec-5|start|Started ConnectionManager
200521 171934.447|INFO|http-nio-8080-exec-5|setClientServerAndPort|INIFile File location: file:/H:/Университет/8%20сем%20-%20FINISH!!!/Диплом/pc2v9-PC2_RELEASE_9_6_x/pc2v9-PC2_RELEASE_9_6_x/pc2/pc2v9.ini
200521 171934.448|INFO|http-nio-8080-exec-5|setClientServerAndPort|setClientServerAndPort localhost parsed as localhost port 50002
200521 171934.448|INFO|http-nio-8080-exec-5|info|Contacting server at localhost:50002
