200520 105805.356|CONFIG|main|setFileHandlers|Now logging to C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2\logs directory.
200520 105805.391|INFO|main|info|
200520 105805.438|INFO|main|info|Version 9 () Java ver 14.0.1 build  Windows 10 10.0 (amd64) 
200520 105805.440|INFO|main|startLog|Working directory is C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2
200520 105805.495|INFO|main|startLog|Process id is 2424@DESKTOP-PII08I3
200520 105805.496|INFO|main|start|Starting ConnectionManager...
200520 105805.681|INFO|main|start|Started ConnectionManager
200520 105805.693|INFO|main|setClientServerAndPort|INIFile File location: file:/C:/Users/demid/Desktop/diplom/pc2v9-PC2_RELEASE_9_6_x/pc2/pc2v9.ini
200520 105805.703|INFO|main|setClientServerAndPort|setClientServerAndPort localhost parsed as localhost port 50002
200520 105805.711|INFO|main|info|Contacting server at localhost:50002
200520 105805.713|INFO|main|connectToMyServer|Connecting to localhost:50002
