200520 223841.585|CONFIG|main|setFileHandlers|Now logging to C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2\logs directory.
200520 223841.589|INFO|main|info|
200520 223841.622|INFO|main|info|Version 9 () Java ver 1.8.0_141 build  Windows 10 10.0 (amd64) 
200520 223841.623|INFO|main|startLog|Working directory is C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2
200520 223841.644|INFO|main|startLog|Process id is 13904@DESKTOP-PII08I3
200520 223841.645|INFO|main|start|Starting ConnectionManager...
200520 223842.321|INFO|main|start|Started ConnectionManager
200520 223842.327|INFO|main|setClientServerAndPort|INIFile File location: file:/C:/Users/demid/Desktop/diplom/pc2v9-PC2_RELEASE_9_6_x/pc2/pc2v9.ini
200520 223842.327|INFO|main|setClientServerAndPort|setClientServerAndPort localhost parsed as localhost port 50002
200520 223842.328|INFO|main|info|Contacting server at localhost:50002
200520 223842.329|INFO|main|connectToMyServer|Connecting to localhost:50002
