200520 120143.960|CONFIG|main|setFileHandlers|Now logging to C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2\logs directory.
200520 120144.026|INFO|main|info|
200520 120144.085|INFO|main|info|Version 9 () Java ver 14.0.1 build  Windows 10 10.0 (amd64) 
200520 120144.088|INFO|main|startLog|Working directory is C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2
200520 120144.168|INFO|main|startLog|Process id is 9472@DESKTOP-PII08I3
200520 120144.168|INFO|main|start|Starting ConnectionManager...
200520 120144.357|INFO|main|start|Started ConnectionManager
200520 120144.366|INFO|main|setClientServerAndPort|INIFile File location: file:/C:/Users/demid/Desktop/diplom/pc2v9-PC2_RELEASE_9_6_x/pc2/pc2v9.ini
200520 120144.373|INFO|main|setClientServerAndPort|setClientServerAndPort localhost parsed as localhost port 50002
200520 120144.379|INFO|main|info|Contacting server at localhost:50002
200520 120144.381|INFO|main|connectToMyServer|Connecting to localhost:50002
