200520 130723.115|CONFIG|main|setFileHandlers|Now logging to C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2\logs directory.
200520 130723.158|INFO|main|info|
200520 130723.208|INFO|main|info|Version 9 () Java ver 14.0.1 build  Windows 10 10.0 (amd64) 
200520 130723.210|INFO|main|startLog|Working directory is C:\Users\demid\Desktop\diplom\pc2v9-PC2_RELEASE_9_6_x\pc2
200520 130723.279|INFO|main|startLog|Process id is 6964@DESKTOP-PII08I3
200520 130723.281|INFO|main|start|Starting ConnectionManager...
200520 130723.480|INFO|main|start|Started ConnectionManager
200520 130723.488|INFO|main|setClientServerAndPort|INIFile File location: file:/C:/Users/demid/Desktop/diplom/pc2v9-PC2_RELEASE_9_6_x/pc2/pc2v9.ini
200520 130723.497|INFO|main|setClientServerAndPort|setClientServerAndPort localhost parsed as localhost port 50002
200520 130723.503|INFO|main|info|Contacting server at localhost:50002
200520 130723.506|INFO|main|connectToMyServer|Connecting to localhost:50002
